process,workcenter,cap,intervalTime,numRate,product
8,10,38,4,1,11
9,5,26,29,1,11
1,3,52,34,1,12
2,9,21,52,1,12
3,2,30,48,1,12
4,5,41,55,1,12
5,9,47,44,1,12
6,4,59,24,1,12
7,8,43,45,1,12
8,9,44,26,1,12
1,3,22,38,1,13
2,9,27,28,1,13
3,5,58,42,1,13
4,5,28,6,1,13
5,9,48,2,1,13
6,3,49,35,1,13
7,8,38,51,1,13
8,9,49,22,1,13
1,3,45,13,1,14
2,9,36,55,1,14
3,5,40,36,1,14
4,9,54,53,1,14
5,1,53,11,1,14
1,3,60,7,1,15
2,3,39,34,1,15
3,4,16,26,1,15
4,6,39,50,1,15
5,8,33,34,1,15
6,10,16,53,1,15
7,2,53,42,1,15
8,5,25,41,1,15
9,7,18,7,1,15
10,8,20,34,1,15
11,9,40,15,1,15
12,10,45,40,1,15
13,2,45,19,1,15
14,5,13,50,1,15
15,6,17,14,1,15
16,5,15,11,1,15
17,4,30,5,1,15
18,5,13,18,1,15
19,10,44,30,1,15
1,3,43,47,1,16
2,3,15,27,1,16
3,4,51,34,1,16
4,2,32,35,1,16
5,5,24,44,1,16
6,7,44,19,1,16
7,9,18,17,1,16
8,5,53,0,1,16
9,4,47,45,1,16
10,5,19,15,1,16
1,3,19,8,1,17
2,3,36,55,1,17
3,5,18,45,1,17
4,7,18,3,1,17
5,9,37,26,1,17
6,4,13,39,1,17
7,5,35,41,1,17
1,3,31,27,1,18
2,3,15,34,1,18
3,4,15,31,1,18
4,2,58,9,1,18
5,5,15,33,1,18
6,7,42,50,1,18
7,9,30,21,1,18
8,5,16,3,1,18
9,4,56,13,1,18
10,5,53,0,1,18
1,3,55,3,1,19
2,3,47,14,1,19
3,8,46,29,1,19
4,5,55,34,1,19
5,7,35,1,1,19
6,9,59,28,1,19
7,5,46,11,1,19
8,2,28,36,1,19
9,4,29,45,1,19
10,5,57,4,1,19
1,3,13,36,1,20
2,4,55,15,1,20
3,4,30,3,1,20
4,5,22,0,1,20
5,7,42,21,1,20
6,9,24,31,1,20
7,5,29,8,1,20
8,4,47,60,1,20
9,5,32,44,1,20
10,5,20,22,1,20
1,3,33,3,1,21
2,3,28,59,1,21
3,5,47,1,1,21
4,7,35,53,1,21
5,9,24,56,1,21
6,10,41,2,1,21
7,5,37,31,1,21
8,7,25,45,1,21
9,10,14,12,1,21
10,8,46,52,1,21
11,5,31,57,1,21
12,5,56,21,1,21
1,3,40,26,1,22
2,3,27,28,1,22
3,5,21,44,1,22
4,7,50,12,1,22
5,9,56,24,1,22
6,4,19,22,1,22
7,5,30,26,1,22
1,3,34,46,1,23
2,3,56,7,1,23
3,5,18,27,1,23
4,7,41,44,1,23
5,9,39,59,1,23
6,4,34,12,1,23
7,5,20,46,1,23
1,3,26,3,1,24
2,3,50,4,1,24
3,5,27,42,1,24
4,7,48,8,1,24
5,9,23,11,1,24
6,10,38,40,1,24
7,5,25,31,1,24
1,3,43,37,1,25
2,7,16,28,1,25
3,2,15,38,1,25
4,5,38,40,1,25
5,7,22,6,1,25
6,9,38,8,1,25
7,1,42,47,1,25
8,10,27,19,1,25
9,1,21,34,1,25
10,5,58,33,1,25
11,10,56,48,1,25
12,5,33,7,1,25
13,4,27,56,1,25
14,5,18,60,1,25
1,3,34,14,1,26
2,3,57,58,1,26
3,8,13,10,1,26
4,10,51,49,1,26
5,2,35,49,1,26
6,5,24,57,1,26
7,7,59,60,1,26
8,8,51,13,1,26
9,9,48,18,1,26
10,10,16,42,1,26
11,10,52,13,1,26
12,2,21,27,1,26
13,5,47,21,1,26
14,6,33,4,1,26
15,8,59,50,1,26
16,5,38,6,1,26
17,4,57,49,1,26
18,5,44,23,1,26
19,10,16,21,1,26
1,3,40,24,1,27
2,9,32,35,1,27
3,5,37,12,1,27
4,5,14,49,1,27
5,9,51,16,1,27
6,3,14,12,1,27
7,8,33,28,1,27
8,9,17,8,1,27
1,3,21,1,1,28
2,3,39,52,1,28
3,5,14,58,1,28
4,7,45,35,1,28
5,9,58,18,1,28
6,7,15,4,1,28
7,10,45,8,1,28
8,5,44,51,1,28
1,3,31,38,1,29
2,3,60,32,1,29
3,4,28,7,1,29
4,5,19,29,1,29
5,7,52,24,1,29
6,9,54,20,1,29
7,5,34,1,1,29
1,3,55,6,1,30
2,9,40,27,1,30
3,5,21,32,1,30
4,2,30,47,1,30
5,5,59,42,1,30
6,9,25,32,1,30
7,8,37,11,1,30
8,9,29,33,1,30
1,3,41,55,1,31
2,9,52,40,1,31
3,5,20,40,1,31
4,2,28,13,1,31
5,5,50,39,1,31
6,7,55,10,1,31
7,9,47,46,1,31
8,10,48,25,1,31
9,8,20,49,1,31
10,8,43,7,1,31
11,9,31,5,1,31
1,3,29,40,1,32
2,9,38,39,1,32
3,5,26,26,1,32
4,5,20,32,1,32
5,9,41,36,1,32
6,8,54,0,1,32
7,9,38,57,1,32
1,3,17,25,1,33
2,9,31,23,1,33
3,5,24,42,1,33
4,5,28,37,1,33
5,9,53,33,1,33
6,3,46,46,1,33
7,8,19,57,1,33
8,9,40,52,1,33
1,3,40,53,1,34
2,3,37,36,1,34
3,4,35,56,1,34
4,5,33,33,1,34
5,7,26,27,1,34
6,9,60,57,1,34
7,1,21,3,1,34
8,4,37,16,1,34
9,5,16,6,1,34
10,5,53,32,1,34
1,3,50,43,1,35
2,9,22,41,1,35
3,5,59,21,1,35
4,5,31,11,1,35
5,9,13,7,1,35
6,3,15,47,1,35
7,8,13,4,1,35
8,9,16,34,1,35
1,3,42,29,1,36
2,3,52,53,1,36
3,2,43,28,1,36
4,5,41,20,1,36
5,7,52,21,1,36
6,9,31,32,1,36
7,10,31,5,1,36
8,5,15,44,1,36
9,8,22,39,1,36
10,5,48,42,1,36
1,3,23,6,1,37
2,3,16,30,1,37
3,4,27,42,1,37
4,5,39,6,1,37
5,7,54,9,1,37
6,9,24,43,1,37
7,10,25,20,1,37
8,5,23,30,1,37
1,3,19,20,1,38
2,3,36,41,1,38
3,5,38,1,1,38
4,7,16,49,1,38
5,9,29,19,1,38
6,4,34,3,1,38
7,5,29,28,1,38
1,3,52,14,1,39
2,3,35,39,1,39
3,8,26,47,1,39
4,5,26,24,1,39
5,7,32,17,1,39
6,9,53,4,1,39
7,7,16,27,1,39
8,10,49,44,1,39
9,5,13,17,1,39
10,4,49,1,1,39
1,3,15,41,1,40
2,9,39,33,1,40
3,5,47,4,1,40
4,5,51,19,1,40
5,9,54,37,1,40
6,8,57,27,1,40
7,9,44,39,1,40
1,3,60,14,1,41
2,3,47,30,1,41
3,5,18,29,1,41
4,1,15,50,1,41
5,8,51,58,1,41
6,10,39,40,1,41
7,2,43,46,1,41
8,5,40,4,1,41
9,7,55,13,1,41
10,8,25,30,1,41
11,9,24,46,1,41
12,10,47,23,1,41
13,2,20,5,1,41
14,8,43,29,1,41
15,3,24,25,1,41
16,5,52,29,1,41
17,4,23,47,1,41
1,3,30,11,1,42
2,3,14,37,1,42
3,4,13,9,1,42
4,8,13,23,1,42
5,5,22,23,1,42
6,7,58,34,1,42
7,9,25,12,1,42
8,5,48,27,1,42
9,2,47,5,1,42
10,5,24,53,1,42
11,5,45,40,1,42
1,3,40,17,1,43
2,9,36,24,1,43
3,5,13,31,1,43
4,5,16,47,1,43
5,9,52,16,1,43
6,8,13,47,1,43
7,9,39,37,1,43
1,3,23,10,1,44
2,9,19,49,1,44
3,5,35,35,1,44
4,5,32,1,1,44
5,9,28,31,1,44
6,8,39,54,1,44
7,9,40,58,1,44
1,5,46,47,1,45
2,6,28,56,1,45
3,3,35,42,1,45
4,9,39,35,1,45
5,10,46,49,1,45
6,2,13,32,1,45
7,5,48,21,1,45
8,9,55,42,1,45
9,1,57,43,1,45
10,2,28,15,1,45
1,3,45,1,1,46
2,3,58,7,1,46
3,8,22,30,1,46
4,5,13,51,1,46
5,7,48,52,1,46
6,8,23,27,1,46
7,9,37,24,1,46
8,10,32,54,1,46
9,5,44,36,1,46
10,4,35,2,1,46
1,3,32,48,1,47
2,3,35,15,1,47
3,9,21,9,1,47
4,2,35,33,1,47
5,5,34,2,1,47
6,7,34,16,1,47
7,9,24,48,1,47
8,10,16,34,1,47
9,1,46,17,1,47
10,5,40,7,1,47
11,7,13,19,1,47
1,3,50,32,1,48
2,3,21,22,1,48
3,8,28,47,1,48
4,5,42,54,1,48
5,7,53,51,1,48
6,9,53,51,1,48
7,4,31,21,1,48
1,3,53,51,1,49
2,3,33,20,1,49
3,4,47,54,1,49
4,5,31,17,1,49
5,7,16,60,1,49
6,9,38,54,1,49
7,5,36,4,1,49
8,4,26,42,1,49
9,5,40,39,1,49
1,3,59,37,1,50
2,2,29,11,1,50
3,3,36,8,1,50
4,4,52,0,1,50
5,5,57,21,1,50
6,7,15,14,1,50
7,9,21,25,1,50
8,1,43,43,1,50
9,5,54,51,1,50
10,10,50,20,1,50
11,2,46,14,1,50
12,4,58,19,1,50
13,4,20,18,1,50
14,5,38,46,1,50
1,3,43,11,1,51
2,3,41,38,1,51
3,5,34,55,1,51
4,7,23,10,1,51
5,9,15,33,1,51
6,4,35,28,1,51
7,5,59,44,1,51
1,3,44,19,1,52
2,3,14,14,1,52
3,5,20,1,1,52
4,7,22,1,1,52
5,9,31,3,1,52
6,3,35,16,1,52
7,5,57,0,1,52
8,5,47,57,1,52
1,3,31,44,1,53
2,3,33,60,1,53
3,8,23,30,1,53
4,2,20,43,1,53
5,5,30,25,1,53
6,7,15,56,1,53
7,9,55,26,1,53
8,5,51,28,1,53
9,7,41,19,1,53
10,10,19,0,1,53
11,2,55,46,1,53
12,5,47,35,1,53
13,4,15,5,1,53
14,5,26,24,1,53
15,10,58,46,1,53
1,3,33,33,1,54
2,3,59,47,1,54
3,4,28,54,1,54
4,2,60,18,1,54
5,5,21,49,1,54
6,7,24,47,1,54
7,9,14,2,1,54
8,5,16,16,1,54
9,8,34,10,1,54
10,5,32,4,1,54
11,5,46,60,1,54
1,3,23,21,1,55
2,5,56,59,1,55
3,9,41,56,1,55
4,2,44,32,1,55
5,5,28,2,1,55
6,9,14,55,1,55
7,1,42,36,1,55
1,3,34,25,1,56
2,3,46,58,1,56
3,4,23,42,1,56
4,8,16,22,1,56
5,5,20,20,1,56
6,7,60,42,1,56
7,9,57,56,1,56
8,5,42,16,1,56
9,10,38,0,1,56
10,2,33,16,1,56
11,5,14,17,1,56
12,9,19,52,1,56
1,3,24,14,1,57
2,9,49,29,1,57
3,5,43,28,1,57
4,5,51,35,1,57
5,9,44,51,1,57
6,8,28,22,1,57
1,3,35,12,1,58
2,3,50,19,1,58
3,8,39,15,1,58
4,2,56,44,1,58
5,5,50,1,1,58
6,7,58,26,1,58
7,9,29,19,1,58
8,5,60,18,1,58
9,10,58,20,1,58
10,2,44,32,1,58
11,5,24,35,1,58
12,5,32,54,1,58
1,3,57,19,1,59
2,9,56,39,1,59
3,4,52,12,1,59
4,2,24,0,1,59
5,5,49,22,1,59
6,7,37,51,1,59
7,9,33,52,1,59
8,4,51,2,1,59
9,5,25,11,1,59
1,3,50,26,1,60
2,3,15,8,1,60
3,4,41,49,1,60
4,8,24,33,1,60
5,2,42,0,1,60
6,5,21,39,1,60
7,7,45,15,1,60
8,9,48,4,1,60
9,5,19,57,1,60
10,10,40,38,1,60
11,2,41,50,1,60
12,8,30,8,1,60
13,4,14,48,1,60
14,5,53,47,1,60
1,3,17,9,1,61
2,3,22,13,1,61
3,2,32,12,1,61
4,5,18,59,1,61
5,7,60,21,1,61
6,9,25,31,1,61
7,5,28,9,1,61
8,2,32,53,1,61
9,5,17,38,1,61
10,4,54,19,1,61
11,5,39,13,1,61
1,3,51,51,1,62
2,3,24,24,1,62
3,4,59,20,1,62
4,8,60,27,1,62
5,5,28,56,1,62
6,7,54,22,1,62
7,8,48,14,1,62
8,9,60,15,1,62
9,10,53,27,1,62
10,2,47,13,1,62
11,5,57,7,1,62
1,3,50,31,1,63
2,3,30,13,1,63
3,4,52,32,1,63
4,5,28,52,1,63
5,7,36,18,1,63
6,9,14,41,1,63
7,5,58,23,1,63
8,5,32,35,1,63
1,3,51,37,1,64
2,3,36,6,1,64
3,4,19,30,1,64
4,6,55,58,1,64
5,8,59,38,1,64
6,10,29,57,1,64
7,2,47,33,1,64
8,5,18,23,1,64
9,7,42,9,1,64
10,8,23,26,1,64
11,9,23,17,1,64
12,7,17,55,1,64
13,10,33,40,1,64
14,2,41,12,1,64
15,6,55,6,1,64
16,5,52,58,1,64
17,4,28,57,1,64
1,3,15,19,1,65
2,3,35,49,1,65
3,4,17,48,1,65
4,4,26,23,1,65
5,5,56,10,1,65
6,7,32,33,1,65
7,9,21,40,1,65
8,5,19,28,1,65
9,8,49,53,1,65
10,4,51,59,1,65
11,5,23,3,1,65
1,3,29,36,1,66
2,9,55,7,1,66
3,5,60,50,1,66
4,2,55,60,1,66
5,5,58,40,1,66
6,9,45,41,1,66
7,8,33,18,1,66
8,9,33,6,1,66
1,3,46,41,1,67
2,9,34,3,1,67
3,5,34,12,1,67
4,9,41,37,1,67
5,1,35,37,1,67
1,3,29,23,1,68
2,9,51,20,1,68
3,1,44,38,1,68
4,5,15,25,1,68
1,3,49,11,1,69
2,9,47,27,1,69
3,5,32,45,1,69
4,5,29,8,1,69
5,9,13,47,1,69
6,8,55,22,1,69
7,9,20,36,1,69
1,3,25,24,1,70
2,9,56,9,1,70
3,5,13,4,1,70
4,5,18,38,1,70
5,9,30,4,1,70
6,8,41,14,1,70
7,9,59,56,1,70
1,3,28,21,1,71
2,3,33,20,1,71
3,4,15,6,1,71
4,6,30,51,1,71
5,8,57,2,1,71
6,2,46,2,1,71
7,5,42,16,1,71
8,7,29,7,1,71
9,9,23,60,1,71
10,5,40,22,1,71
11,10,41,19,1,71
12,2,56,24,1,71
13,8,22,10,1,71
14,5,51,47,1,71
15,5,29,15,1,71
16,10,39,27,1,71
1,3,40,60,1,72
2,3,42,18,1,72
3,4,20,28,1,72
4,8,16,45,1,72
5,2,20,44,1,72
6,5,14,36,1,72
7,7,43,58,1,72
8,8,33,7,1,72
9,9,58,52,1,72
10,1,47,55,1,72
11,10,40,52,1,72
12,2,41,18,1,72
13,5,17,19,1,72
14,4,59,59,1,72
1,3,20,17,1,73
2,2,43,34,1,73
3,5,30,52,1,73
4,7,59,49,1,73
5,9,42,57,1,73
6,4,24,6,1,73
7,5,58,11,1,73
1,3,26,60,1,74
2,3,59,17,1,74
3,8,23,42,1,74
4,2,59,0,1,74
5,5,13,10,1,74
6,7,29,53,1,74
7,9,53,21,1,74
8,4,60,45,1,74
9,5,55,41,1,74
10,7,45,48,1,74
11,10,32,43,1,74
12,2,46,46,1,74
13,5,51,9,1,74
14,5,56,36,1,74
15,10,16,13,1,74
1,3,23,18,1,75
2,3,21,15,1,75
3,8,21,15,1,75
4,2,60,29,1,75
5,5,57,53,1,75
6,7,60,8,1,75
7,9,59,25,1,75
8,4,58,30,1,75
9,5,19,29,1,75
10,10,30,29,1,75
11,2,57,14,1,75
12,5,28,48,1,75
13,4,38,57,1,75
14,5,27,21,1,75
15,10,14,50,1,75
1,3,17,4,1,76
2,9,60,29,1,76
3,5,27,9,1,76
4,2,37,5,1,76
5,5,29,52,1,76
6,9,56,42,1,76
7,8,54,5,1,76
8,9,35,23,1,76
1,3,41,36,1,77
2,2,48,19,1,77
3,3,41,9,1,77
4,4,14,14,1,77
5,8,30,46,1,77
6,2,20,28,1,77
7,5,34,40,1,77
8,7,56,21,1,77
9,9,47,4,1,77
10,1,50,9,1,77
11,5,47,42,1,77
12,5,13,58,1,77
13,5,44,4,1,77
1,3,53,56,1,78
2,3,15,54,1,78
3,8,38,23,1,78
4,10,31,10,1,78
5,2,59,1,1,78
6,5,36,54,1,78
7,7,46,25,1,78
8,9,21,50,1,78
9,4,49,50,1,78
10,5,47,48,1,78
11,7,22,39,1,78
12,10,22,10,1,78
13,2,36,50,1,78
14,6,15,35,1,78
15,5,26,34,1,78
16,4,23,39,1,78
17,10,28,16,1,78
1,3,47,25,1,79
2,3,27,59,1,79
3,6,35,0,1,79
4,8,42,43,1,79
5,5,20,31,1,79
6,7,50,39,1,79
7,8,48,47,1,79
8,9,25,48,1,79
9,10,57,2,1,79
10,2,23,18,1,79
11,5,17,57,1,79
12,9,31,39,1,79
13,4,41,33,1,79
14,5,59,44,1,79
15,10,19,60,1,79
1,3,19,14,1,80
2,9,20,57,1,80
3,5,52,28,1,80
4,5,57,48,1,80
5,9,19,27,1,80
6,8,14,26,1,80
7,9,19,33,1,80
1,3,16,22,1,81
2,9,25,38,1,81
3,5,32,59,1,81
4,2,21,5,1,81
5,5,59,18,1,81
6,9,16,45,1,81
7,8,58,13,1,81
8,9,40,27,1,81
1,3,60,21,1,82
2,9,21,9,1,82
3,5,26,26,1,82
4,5,15,3,1,82
5,9,37,38,1,82
6,8,46,41,1,82
7,9,29,22,1,82
1,3,45,37,1,83
2,9,49,44,1,83
3,5,22,28,1,83
4,5,44,19,1,83
5,9,51,15,1,83
6,8,32,27,1,83
7,9,13,8,1,83
1,3,51,14,1,84
2,3,16,11,1,84
3,4,20,47,1,84
4,5,24,39,1,84
5,7,32,4,1,84
6,9,28,48,1,84
7,10,35,58,1,84
8,4,32,51,1,84
9,5,16,7,1,84
1,3,40,47,1,85
2,3,52,18,1,85
3,4,28,1,1,85
4,8,25,34,1,85
5,5,19,19,1,85
6,7,39,45,1,85
7,9,54,24,1,85
8,5,57,6,1,85
9,10,13,45,1,85
10,4,42,37,1,85
11,5,24,52,1,85
1,3,30,41,1,86
2,3,40,23,1,86
3,4,53,23,1,86
4,8,51,21,1,86
5,5,19,40,1,86
6,7,50,52,1,86
7,8,29,15,1,86
8,9,24,58,1,86
9,10,17,33,1,86
10,5,30,30,1,86
1,3,17,14,1,87
2,3,24,9,1,87
3,4,44,38,1,87
4,5,25,11,1,87
5,7,23,24,1,87
6,9,18,7,1,87
7,4,31,6,1,87
8,6,35,48,1,87
9,5,60,17,1,87
1,3,41,2,1,88
2,3,27,49,1,88
3,8,21,12,1,88
4,2,46,45,1,88
5,5,36,28,1,88
6,7,60,19,1,88
7,9,34,47,1,88
8,4,36,48,1,88
9,5,17,42,1,88
10,10,39,22,1,88
11,2,24,29,1,88
12,6,59,50,1,88
13,5,37,55,1,88
14,10,38,17,1,88
1,3,54,45,1,89
2,3,25,28,1,89
3,4,55,34,1,89
4,6,60,28,1,89
5,8,41,37,1,89
6,5,52,0,1,89
7,7,41,1,1,89
8,9,46,23,1,89
9,5,26,15,1,89
10,10,31,57,1,89
11,2,29,31,1,89
12,6,16,35,1,89
13,5,54,36,1,89
14,10,44,17,1,89
1,3,41,54,1,90
2,3,43,4,1,90
3,4,42,31,1,90
4,8,46,31,1,90
5,5,33,23,1,90
6,7,19,24,1,90
7,9,32,16,1,90
8,5,13,2,1,90
9,4,19,21,1,90
10,5,30,14,1,90
1,3,43,1,1,91
2,8,54,26,1,91
3,3,50,8,1,91
4,4,51,24,1,91
5,4,56,43,1,91
6,8,13,11,1,91
7,2,49,55,1,91
8,3,50,45,1,91
9,5,26,9,1,91
10,7,16,32,1,91
11,9,37,8,1,91
12,10,19,21,1,91
13,5,19,8,1,91
14,10,42,57,1,91
15,5,44,31,1,91
16,5,51,13,1,91
1,3,30,13,1,92
2,4,46,31,1,92
3,9,13,55,1,92
4,8,14,55,1,92
5,5,33,24,1,92
6,7,47,28,1,92
7,9,14,53,1,92
8,10,59,28,1,92
9,4,42,50,1,92
10,5,52,10,1,92
1,3,45,34,1,93
2,3,56,50,1,93
3,2,35,33,1,93
4,5,54,40,1,93
5,7,26,18,1,93
6,9,34,27,1,93
7,1,42,56,1,93
8,5,32,40,1,93
1,3,51,58,1,94
2,3,33,10,1,94
3,4,49,18,1,94
4,6,41,16,1,94
5,8,48,55,1,94
6,5,42,26,1,94
7,7,34,34,1,94
8,8,47,20,1,94
9,9,58,58,1,94
10,10,39,23,1,94
11,2,58,41,1,94
12,3,15,0,1,94
13,5,54,16,1,94
14,10,38,25,1,94
1,3,24,0,1,95
2,3,51,60,1,95
3,4,28,55,1,95
4,9,13,19,1,95
5,8,29,39,1,95
6,2,32,0,1,95
7,5,14,60,1,95
8,7,41,2,1,95
9,9,16,5,1,95
10,10,21,38,1,95
11,10,18,15,1,95
12,1,21,37,1,95
13,5,18,4,1,95
14,4,37,40,1,95
15,5,41,22,1,95
16,8,53,58,1,95
1,3,13,34,1,96
2,3,52,29,1,96
3,2,58,6,1,96
4,5,48,3,1,96
5,7,22,27,1,96
6,9,43,33,1,96
7,10,26,39,1,96
8,1,30,47,1,96
9,5,57,11,1,96
10,8,26,23,1,96
11,4,31,24,1,96
12,5,55,34,1,96
13,5,13,59,1,96
1,3,46,9,1,97
2,3,53,12,1,97
3,5,25,42,1,97
4,7,37,46,1,97
5,9,36,6,1,97
6,8,56,24,1,97
7,5,34,51,1,97
1,3,36,19,1,98
2,3,44,34,1,98
3,4,32,25,1,98
4,5,22,6,1,98
5,7,16,55,1,98
6,9,13,56,1,98
7,5,38,30,1,98
8,5,17,14,1,98
9,5,21,50,1,98
1,3,19,43,1,99
2,9,22,55,1,99
3,5,50,36,1,99
4,5,35,53,1,99
5,9,54,52,1,99
6,8,58,7,1,99
7,9,19,54,1,99
1,3,43,4,1,100
2,3,58,51,1,100
3,5,44,10,1,100
4,7,50,39,1,100
5,9,48,24,1,100
6,6,31,56,1,100
7,10,18,0,1,100
8,5,60,45,1,100
9,4,55,36,1,100
10,8,20,48,1,100
1,3,34,58,1,101
2,3,13,26,1,101
3,4,34,46,1,101
4,4,54,57,1,101
5,8,40,60,1,101
6,5,30,22,1,101
7,7,38,35,1,101
8,9,26,27,1,101
9,10,32,5,1,101
10,5,33,29,1,101
11,4,14,34,1,101
12,6,44,11,1,101
1,3,18,37,1,102
2,9,18,47,1,102
3,5,58,14,1,102
4,5,48,51,1,102
5,9,27,53,1,102
6,8,13,25,1,102
7,9,59,50,1,102
1,3,22,23,1,103
2,3,60,53,1,103
3,8,38,51,1,103
4,2,29,28,1,103
5,5,15,48,1,103
6,7,42,16,1,103
7,9,43,38,1,103
8,5,34,35,1,103
9,5,18,60,1,103
10,8,22,31,1,103
11,10,15,12,1,103
12,5,43,8,1,103
13,5,21,59,1,103
1,3,46,57,1,104
2,3,32,54,1,104
3,2,49,47,1,104
4,5,49,40,1,104
5,7,51,29,1,104
6,9,16,9,1,104
7,1,45,51,1,104
8,5,41,32,1,104
9,6,13,10,1,104
10,5,48,15,1,104
1,3,29,1,1,105
2,3,53,21,1,105
3,5,23,52,1,105
4,7,55,59,1,105
5,9,33,10,1,105
6,4,18,45,1,105
7,5,23,56,1,105
1,3,33,54,1,106
2,2,49,34,1,106
3,3,36,41,1,106
4,4,20,41,1,106
5,2,46,7,1,106
6,5,53,29,1,106
7,7,29,58,1,106
8,9,33,21,1,106
9,5,44,31,1,106
10,10,24,48,1,106
11,5,19,40,1,106
12,4,57,55,1,106
13,5,22,31,1,106
1,3,54,53,1,107
2,3,43,56,1,107
3,4,28,18,1,107
4,8,26,49,1,107
5,5,13,32,1,107
6,7,34,11,1,107
7,8,50,30,1,107
8,9,55,42,1,107
9,10,32,5,1,107
10,2,43,34,1,107
11,5,51,37,1,107
1,3,13,3,1,108
2,9,38,37,1,108
3,5,56,23,1,108
4,5,16,7,1,108
5,9,18,48,1,108
6,8,33,48,1,108
7,9,38,57,1,108
1,3,28,59,1,109
2,4,46,52,1,109
3,9,28,47,1,109
4,4,13,12,1,109
5,5,55,8,1,109
6,7,24,10,1,109
7,9,49,1,1,109
8,4,13,5,1,109
9,5,28,32,1,109
1,3,50,56,1,110
2,3,26,27,1,110
3,4,27,16,1,110
4,9,46,59,1,110
5,5,19,49,1,110
6,7,30,34,1,110
7,9,27,11,1,110
8,1,54,11,1,110
9,1,39,42,1,110
10,4,40,55,1,110
11,5,20,35,1,110
12,4,51,0,1,110
13,5,27,13,1,110
1,3,36,35,1,111
2,2,23,11,1,111
3,3,52,3,1,111
4,4,32,30,1,111
5,8,54,14,1,111
6,5,56,5,1,111
7,7,38,54,1,111
8,9,50,37,1,111
9,1,53,14,1,111
10,5,38,7,1,111
11,4,24,45,1,111
12,5,60,3,1,111
13,5,43,13,1,111
1,3,44,35,1,112
2,3,50,37,1,112
3,2,20,26,1,112
4,5,43,46,1,112
5,7,58,58,1,112
6,9,31,19,1,112
7,10,46,48,1,112
8,5,24,60,1,112
9,8,21,23,1,112
10,5,50,59,1,112
11,5,53,56,1,112
1,3,60,3,1,113
2,9,15,20,1,113
3,4,13,11,1,113
4,2,36,45,1,113
5,5,59,41,1,113
6,7,49,8,1,113
7,9,39,22,1,113
8,5,13,35,1,113
1,3,20,5,1,114
2,9,48,12,1,114
3,4,24,47,1,114
4,9,13,33,1,114
5,8,17,58,1,114
6,2,51,9,1,114
7,5,50,19,1,114
8,7,23,26,1,114
9,9,57,17,1,114
10,10,30,11,1,114
11,10,48,4,1,114
12,1,14,42,1,114
13,5,25,57,1,114
14,4,31,23,1,114
15,5,26,17,1,114
1,3,45,19,1,115
2,3,20,24,1,115
3,4,35,1,1,115
4,5,35,56,1,115
5,7,20,46,1,115
6,9,26,59,1,115
7,4,22,56,1,115
8,6,48,32,1,115
9,5,29,52,1,115
